condition,method,MCC,Accuracy,Precision,Sensitivity,Specificity,NPV,F1_Score,FPR,TP,FP,FN
ULB / stratified,FedAvg,0.4246649863684571,99.38731083880464,20.470588235289302,88.77551020399105,99.40559932470438,99.9805437147353,33.269598470356925,0.5944006752954407,87.0,338.0,11.0
ULB / stratified,FedAvg+Krum,0.7507993352461886,99.90871107053808,70.90909090902645,79.59183673461266,99.9437253798535,99.96482093857718,74.99999999996395,0.05627462014631391,78.0,32.0,20.0
ULB / stratified,FedAvg+DP,-0.0012436384202477188,24.31094413819735,0.1691302534636945,74.48979591829134,24.224465391108566,99.81884057970942,0.3374942209893658,75.77553460889125,73.0,43089.0,25.0
ULB / stratified,DB-BOA-ADTCN,0.004846927912253618,3.1863347494821053,0.17558785728508558,98.97959183663369,3.0212436691052282,99.94182664339151,0.3505538389259313,96.9787563308946,97.0,55146.0,1.0
BankSim / stratified,FedAvg,0.7569921424833845,99.38173669834303,66.22554660528962,87.1969696969631,99.51470758445072,99.85979757756753,75.27795945061885,0.4852924155491985,1151.0,587.0,169.0
BankSim / stratified,FedAvg+Krum,0.7198742527724624,99.29423117813499,63.23103647944046,82.72727272726645,99.47502438863069,99.8108684291295,71.67705940268881,0.5249756113692352,1092.0,635.0,228.0
BankSim / stratified,FedAvg+DP,0.018006020990079426,78.5169858846235,1.4403051889913916,28.030303030300907,79.06794093817682,99.01645114868143,2.7398274649190912,20.932059061823093,370.0,25319.0,950.0
BankSim / stratified,DB-BOA-ADTCN,0.025776986278364347,71.29164690295877,1.5015790984783188,39.62121212120912,71.63726252087496,99.08860122587126,2.8934993084370597,28.362737479124963,523.0,34307.0,797.0
BankSim / entity-disjoint,FedAvg,0.8267972131791435,99.57801076236109,74.81481481481019,91.81818181817486,99.6626928355296,99.91049080873204,82.44897959183393,0.3373071644703117,1212.0,408.0,108.0
BankSim / entity-disjoint,FedAvg+Krum,0.7932989193340523,99.50113675395403,72.04968944098931,87.87878787878122,99.62797003918708,99.8674047800576,79.18088737201094,0.37202996081284384,1160.0,450.0,160.0
BankSim / entity-disjoint,FedAvg+DP,-0.00015033280460371605,2.028983136786665,1.07935354402887,99.01515151514401,0.970584831098397,98.90480202189562,2.135429005563224,99.02941516890152,1307.0,119784.0,13.0
BankSim / entity-disjoint,DB-BOA-ADTCN,0.009886223317009947,77.07273589689063,1.2695633139980254,26.363636363634367,77.62611815671549,98.97540767600947,2.4224705022449537,22.373881843284426,348.0,27063.0,972.0
Handbook / stratified,FedAvg,0.04392773872031548,75.10115806599875,1.6164785322102087,44.75920679886545,75.37542749512042,99.34189309793976,3.120268580080307,24.624572504879552,1422.0,86547.0,1755.0
Handbook / stratified,FedAvg+Krum,0.05198128059639582,89.55597600967731,2.3634010466490283,26.4400377714817,90.12649872249375,99.26762999802567,4.3389550349957275,9.873501277506213,840.0,34702.0,2337.0
Handbook / stratified,FedAvg+DP,0.008991541237434132,34.75495075329274,0.9571742942612519,70.09757632986874,34.435478822987136,99.2211774157846,1.888560513227131,65.56452117701284,2227.0,230437.0,950.0
Handbook / stratified,DB-BOA-ADTCN,0.012610627418559974,66.29258155384427,1.0631497493523525,39.785961598991506,66.53218234480715,99.18855063181064,2.0709598669604876,33.46781765519281,1264.0,117628.0,1913.0
Handbook / entity-disjoint,FedAvg,0.14999964657248022,96.38622502065454,8.570446144588596,31.381806735913397,96.97381823561878,99.36445001603448,13.463875759621786,3.026181764381191,997.0,10636.0,2180.0
Handbook / entity-disjoint,FedAvg+Krum,0.10889933364987549,95.41031403411314,5.808932667656148,27.10103871576874,96.02778078107126,99.31846472113256,9.567198177676485,3.972219218928714,861.0,13961.0,2316.0
Handbook / entity-disjoint,FedAvg+DP,-0.004754558556686987,97.02658730046832,0.5901287553647989,1.3849543594585652,97.89111891335148,99.0976044609965,0.8276121508511161,2.1088810866484944,44.0,7412.0,3133.0
Handbook / entity-disjoint,DB-BOA-ADTCN,0.0021779185875368625,0.9482775636344152,0.8963005385702635,99.99999999999685,0.0529211929461171,99.99999999994624,1.7766767141826554,99.94707880705386,3177.0,351280.0,0.0
PaySim / stratified,FedAvg,0.4282976998345315,97.53926811513045,21.64369280667195,87.51756440280825,97.61471545489485,99.90382359840486,34.70468053491812,2.3852845451051325,3737.0,13529.0,533.0
PaySim / stratified,FedAvg+Krum,0.413909389988302,97.52141897188933,21.049859550561678,84.23887587821817,97.62141519713109,99.87860049642113,33.682929113212694,2.3785848028689,3597.0,13491.0,673.0
